"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"439","10717","PE","102","HAP","Hiking Around Portland","0.0","Casey","T","04:10PM07:00","VOLLUM120"
"440","10740","PE","102","HAT","Yoga-Hatha","0.0","Casey","T-Th","05:10PM06:00","SPORTSDANCE"
"441","10721","PE","102","JGL","Juggling","0.0","Casey","W","07:10PM09:00","SPORTSGYMI"
"442","10720","PE","102","JIT","Jitterbug","0.0","Casey","M","06:10PM08:00","WINCH"
"443","10722","PE","102","JUD","Judo","0.0","Casey","M-W","03:40PM05:40","SPORTSMAT"
"444","10739","PE","102","KUN","Yoga-Kundlini","0.0","Casey","M-W","04:40PM06:00","SPORTSDANCE"
"445","10581","ANTH","211","F05","Introduction to Anthropology","1.0","Brightman","M-W","06:10PM07:30","ELIOT317"
"446","10600","BIOL","101","FW3","Intro Biology Lect and Lab","0.0","Shampay","W","01:10PM05:00","BIOL103"
"447","10723","PE","102","LIF","Lifeguard Training","0.0","Casey","M","06:10PM09:00","SPORTS"
"448","10781","PE","102","MOD","Modern Dance","0.0","Casey","F","04:10PM06:00","SPORTSGYMII"
"449","10741","PE","102","REL","Yoga-Relaxation","0.0","Casey","T-Th","06:10PM07:00","SPORTSMAT"
"450","10725","PE","102","ROC","Rock Climbing","0.0","Casey","Th","04:10PM07:00","VOLLUM120"
"451","10724","PE","102","RQB","Raquetball-Beginning","0.0","Casey","T-Th","02:10PM03:00","SPORTS"
"452","10726","PE","102","RUG","Rugby-Men and Women","0.0","Casey","T-W-Th","04:10PM06:00","SPORTS"
"453","10730","PE","102","SQB","Squash-beginning","0.0","Casey","T-Th","03:10PM04:00","SPORTS"
"454","10731","PE","102","SQI","Squash-Intermediate","0.0","Casey","T-Th","04:10PM05:00","SPORTS"
"455","10735","PE","102","TCB","Tai Chi-Beginning","0.0","Casey","M-W","03:10PM04:00","SPORTSGYMI"
"456","10736","PE","102","TCI","Tai Chi-Intermediate","0.0","Casey","M-W","04:10PM05:30","SPORTSGYMI"
"457","10601","BIOL","101","FW7","Intro Biology Lect and Lab","0.0","Shampay","W","01:10PM05:00","BIOL107"
"458","10737","PE","102","ULT","Ultimate Frisbee","0.0","Casey","T-Th","04:10PM06:00","SPORTS"
"459","10421","PHIL","200","F01","Introduction to Philosophy","1.0","Hinchliff","T-Th","10:30AM11:50","VOLLUM120"
"460","10422","PHIL","200","F02","Introduction to Philosophy","1.0","Latham","T-Th","10:30AM11:50","PSYCH103"
"461","10423","PHIL","200","F03","Introduction to Philosophy","1.0","Reeve","T-Th","10:30AM11:50","WINCHCPHT"
"462","20417","PHIL","201","S","Logic","1.0","Taschek","T-Th","01:10PM02:30","PSYCH105"
"463","10424","PHIL","301","F","Ancient Philosophy","1.0","Reeve","T-Th","02:40PM04:00","PSYCH105"
"464","20418","PHIL","308","S","Post-Kantian Continental Phil","1.0","Peck","T-Th","10:30AM11:50","VOLLUM118"
"465","20419","PHIL","310","S","Metaphysics","1.0","Hinchliff","T-Th","10:30AM11:50","VOLLUM116"
"466","10425","PHIL","311","F","Epistemology","1.0","Taschek","T-Th","10:30AM11:50","PHYSIC121"
"467","10767","PHIL","312","F","Ethics","1.0","Arkonovich","M-W-F","01:10PM02:00","VOLLUM126"
"468","10602","BIOL","101","FR3","Intro Biology Lect and Lab","0.0","Shampay","Th","01:10PM05:00","BIOL103"
"469","10427","PHIL","317","F","Philosophy of Mind","1.0","Hinchliff","T-Th","02:40PM04:00","VOLLUM110"
"470","20421","PHIL","410","S01","Adv Topics:APrior,Nec,Anlytic","1.0","Hinchliff","T-Th","01:10PM02:30","VOLLUM118"
"471","20422","PHIL","410","S02","Advanced Topics:Phil of Mind","1.0","Reeve","M-W","03:10PM04:30","VOLLUM118"
